cat_num,age_y,sex,f_mxl,f_db,f_msb
1336,7.64,F,290.76,55.46,18.04
246,6.90,F,290.82,58.86,19.77
577,7.77,F,290.82,60.93,19.04
1024,9.13,F,290.88,59.68,18.41
1361,7.30,M,290.98,66.46,21.19
105,6.76,M,291.49,70.13,20.75
223,7.08,F,291.66,62.19,18.91
137,7.54,M,291.75,62.97,21.02
1092,8.35,M,291.76,61.99,19
818,8.18,F,292.01,62.13,21.21
956,10.28,F,292.1,58.25,19.72
1130,9.00,M,292.58,66.94,24.46
755,10.41,M,294.36,67.81,20.58
150,6.97,M,294.71,62.04,20.17
992,8.43,M,294.8,61.54,21.68
681,7.23,F,295.58,61.23,20.7
215,7.51,M,295.65,70.54,23.07
669,8.56,M,295.94,66.82,18.26
1257,7.00,F,295.99,61.75,19.74
847,7.68,M,296.2,62.49,20.42
481,8.28,M,296.36,69.11,19.67
444,7.77,M,296.51,62.29,17.84
965,8.48,M,296.58,63.91,21.35
844,7.63,M,296.79,62.72,19.15
391,6.99,M,297.97,62.68,20.25
584,8.15,F,298.17,60.9,17.6
861,8.49,M,298.21,65.8,19.78
799,7.11,F,298.35,56.14,19.23
993,8.67,M,298.69,63.29,18.79
1010,10.19,M,299.16,69.22,21.27
204,8.53,M,299.17,62.6,19.58
1338,6.78,F,299.47,61.91,20.1
202,8.49,F,299.65,58.92,18.63
56,7.75,F,299.81,62.4,19.64
701,8.72,M,299.81,64.59,20.35
626,7.51,F,300.16,62.34,20.21
599,6.91,M,300.54,66.69,21.4
151,8.18,F,300.59,64.95,19.4
634,8.14,M,300.6,62.68,17.4
143,7.56,F,300.97,54.43,18.08
1376,9.11,F,301.38,60.95,18.76
1363,9.43,M,301.77,66.39,20.75
213,9.03,M,301.95,65.84,22.14
257,9.28,M,302.01,65.94,19.88
82,7.56,M,302.46,69.02,20.96
269,7.93,F,302.51,61.66,20.18
303,9.20,M,302.56,71.15,22.95
387,8.28,M,302.83,67.25,20.22
1088,9.25,F,302.87,62.72,18.77
97,7.73,F,303,61.33,18.29
621,6.14,F,303,60.37,20.81
338,8.72,F,303.44,61.15,18.12
73,7.60,M,303.54,58.93,17.15
783,7.54,M,303.8,66.38,19.74
966,11.32,F,303.85,67.31,20.08
1228,8.00,M,303.86,66.34,20.87
480,7.71,M,303.98,64.62,19.38
913,9.60,M,303.99,62.53,21.01
778,6.86,M,304.83,64.76,19.2
866,8.56,F,305.02,62.38,18.58
811,8.45,M,305.5,62.65,18.85
483,6.94,M,305.59,65.78,20.82
650,7.50,M,306.03,58.24,17.69
824,9.80,M,306.08,70.04,21.62
1064,8.65,M,306.32,64.33,19.49
1086,9.78,F,306.54,61.84,18.33
457,7.60,F,306.72,64.15,21.75
972,8.03,F,306.98,61.63,20.24
510,9.45,F,307.07,61.07,18.07
479,8.25,F,307.33,65.54,20.49
317,10.99,F,307.36,65.74,22.45
716,7.92,M,307.37,64.51,18.23
654,6.86,F,307.73,59.9,19.66
562,7.39,M,307.88,67.29,20.47
109,6.41,M,308.42,69.04,19.98
40,9.01,F,308.51,56.59,18.32
680,8.57,M,308.52,63.53,20.62
643,11.94,F,309.2,64.58,19.38
586,7.90,M,309.97,70.18,20.67
